old_index,j5_branch,j5_shifted,t_close,t_open,gripper_flips,pre_grasp_flips,t_cut,orig_seconds,clean_seconds,orig_actions,clean_actions,j5_shift_rad,video_frames,video_fps,decision,new_index,sha256_parquet
86,neg,False,15.066666603088379,23.933332443237305,4,0,30.933332443237305,62.133,30.933,1865,929,,"{'observation.images.chest': 929, 'observation.images.wrist_right': 929}",30,keep,36,86d647498d4ae736c13e0f790c3b034cb1f694aacf2b06d66632c992565c23d6
87,neg,False,16.600000381469727,23.0,4,0,30.0,59.833,30.0,1796,901,,"{'observation.images.chest': 901, 'observation.images.wrist_right': 901}",30,keep,37,51fafb3efe5c3061ccca7f8d14caf3442f787a67fa912a2143328cf53b5263b9
88,neg,False,15.399999618530273,21.399999618530273,4,0,28.399999618530273,69.033,28.4,2072,853,,"{'observation.images.chest': 853, 'observation.images.wrist_right': 853}",30,keep,38,916646468aec9739920146dad3968d8d8aea18a87e2b79b8554f97eccbe21321
89,neg,False,18.600000381469727,26.53333282470703,4,0,33.53333282470703,68.0,33.533,2041,1007,,"{'observation.images.chest': 1007, 'observation.images.wrist_right': 1007}",30,keep,39,fb4f9c14d6ca3c1b03f90c8781b91ce7072b44dcf17ae7dc8251483d73413a9d
90,neg,False,12.533333778381348,22.0,4,0,29.0,65.733,29.0,1973,871,,"{'observation.images.chest': 871, 'observation.images.wrist_right': 871}",30,keep,40,b835f292650b4561bf1c1eb146fb817ba0a6d6e234c19a35ece3410149e79a2e
91,neg,False,9.066666603088379,17.53333282470703,4,0,24.53333282470703,53.033,24.533,1592,737,,"{'observation.images.chest': 737, 'observation.images.wrist_right': 737}",30,keep,41,5fc13eddf778baad6f9e0374c7b0f598b838da1a2bd549011586a0f253f21e7c
92,neg,False,14.933333396911621,21.066667556762695,4,0,28.066667556762695,54.9,28.067,1648,843,,"{'observation.images.chest': 843, 'observation.images.wrist_right': 843}",30,keep,42,55978de4ee588ebfb44dcdb596c81c29ff0f6e329a0b1afdf3808ad55b1781d2
93,neg,False,7.733333110809326,14.933333396911621,4,0,21.933332443237305,52.667,21.933,1581,659,,"{'observation.images.chest': 659, 'observation.images.wrist_right': 659}",30,keep,43,b0f0520ef5108de9ee7f974f2ddc6574ff0bff5cfb3bde53a3c312d6d0bdaa9c
94,neg,False,9.933333396911621,18.133333206176758,4,0,25.133333206176758,55.3,25.133,1660,755,,"{'observation.images.chest': 755, 'observation.images.wrist_right': 755}",30,keep,44,3ab813e1a5214bbd7b1b8e49a2d737d4b21e631e1bec14036e5d886779691adf
95,neg,False,11.666666984558105,19.600000381469727,4,0,26.600000381469727,60.833,26.6,1826,799,,"{'observation.images.chest': 799, 'observation.images.wrist_right': 799}",30,keep,45,a43733f3f3d255e527b2d069595b06e0362b6de218e360c9360b9f74813bc3f0
96,neg,False,17.0,23.733333587646484,4,0,30.733333587646484,63.7,30.733,1912,923,,"{'observation.images.chest': 923, 'observation.images.wrist_right': 923}",30,keep,46,a834ea9e6849f9a40260db476512dd5dc0f7bb93781b3764c4f6fe987e985a0a
97,neg,False,19.200000762939453,27.46666717529297,4,0,34.46666717529297,67.633,34.467,2030,1035,,"{'observation.images.chest': 1035, 'observation.images.wrist_right': 1035}",30,keep,47,963812387a66a7a0dc5ba8812cc24968b2e6d90fc21f288d06e99f9cbf5fd85d
98,neg,False,9.399999618530273,18.53333282470703,4,0,25.53333282470703,48.2,25.533,1447,767,,"{'observation.images.chest': 767, 'observation.images.wrist_right': 767}",30,keep,48,6d97bd025b0145f250ee20c90904b09e3d0e47a0eb58c0054b8ae8c6e4d33d6b
99,neg,False,9.466666221618652,20.200000762939453,4,0,27.200000762939453,52.667,27.2,1581,817,,"{'observation.images.chest': 817, 'observation.images.wrist_right': 817}",30,keep,49,a03a8bc04ae1728c23850996d9498a70bb9b9ec15eec41b5089defedb608bb0c
